id,created_at,changed_at,user,batch,credits,state,type
29605,2025-03-26 11:41:51.379926+00:00,2025-03-27 08:14:48.045060+00:00,STUD90140,292,508,PAID,MONEY
29604,2025-03-26 11:35:47.137381+00:00,2025-03-27 08:14:48.134833+00:00,STUD89262,292,502,PAID,MONEY
29603,2025-03-26 10:54:21.615827+00:00,2025-03-27 08:07:03.248318+00:00,STUD57959,None,502,APPROVED,MEDICINS_SANS_FRONTIERS
29602,2025-03-26 10:04:26.572293+00:00,2025-03-27 08:14:48.227356+00:00,STUD38418,292,514,PAID,MONEY
29601,2025-03-26 10:04:12.781728+00:00,2025-03-27 08:14:48.354548+00:00,STUD83774,292,504,PAID,MONEY
29600,2025-03-26 10:02:41.448000+00:00,2025-03-27 08:14:48.451566+00:00,STUD36125,292,503,PAID,MONEY
29599,2025-03-26 09:42:32.009975+00:00,2025-03-27 08:14:48.550175+00:00,STUD69742,292,512,PAID,MONEY
29598,2025-03-26 09:36:53.783200+00:00,2025-03-27 08:14:48.664355+00:00,STUD3997,292,504,PAID,MONEY
29597,2025-03-26 09:24:39.974071+00:00,2025-03-27 08:14:48.785236+00:00,STUD33902,292,508,PAID,MONEY
29596,2025-03-26 08:52:59.229481+00:00,2025-03-27 08:14:48.892665+00:00,STUD92012,292,1016,PAID,MONEY
