iter	Accuracy	CrossEntropy
807	0.9937445447	0.07792884139
808	0.9938318301	0.07786646913
809	0.9937445447	0.07771201453
810	0.9937445447	0.07760550849
811	0.9937445447	0.07750463978
812	0.9938027349	0.07736622847
813	0.9938609252	0.07721045408
814	0.9939191155	0.07708133514
815	0.9939191155	0.07694929949
816	0.9939773058	0.07679977499
817	0.9940354961	0.07667972109
818	0.9940354961	0.0765321737
819	0.9940645912	0.07639997526
820	0.9940936864	0.07629601974
821	0.9941809718	0.07623880288
822	0.9941518766	0.07613079872
823	0.9941518766	0.07597509747
824	0.9941518766	0.07584700181
825	0.9941809718	0.07573786627
826	0.9942682572	0.07562019563
827	0.9943555426	0.07548906218
828	0.9943264475	0.07540520532
829	0.9943555426	0.07527843107
830	0.9945592086	0.07513550652
831	0.9945592086	0.07502137851
832	0.9945883038	0.07493091597
833	0.9945592086	0.07482647455
834	0.9946173989	0.0746690036
835	0.9946755892	0.07448995368
836	0.994646494	0.07434510109
837	0.9947919697	0.07421941373
838	0.9949083503	0.07413574457
839	0.9949083503	0.07397371047
840	0.9949083503	0.07382232037
841	0.9950829212	0.07371618615
842	0.9950829212	0.07364653602
843	0.9951411114	0.07356119915
844	0.9951411114	0.07344459505
845	0.9951702066	0.07332821326
846	0.9951993017	0.07322592765
847	0.9952283969	0.0731623144
848	0.995257492	0.07308632486
849	0.9952865871	0.07297372159
850	0.995257492	0.07285127102
851	0.9953156823	0.07269131311
852	0.9953156823	0.07255784814
853	0.9953738726	0.07248821621
854	0.995461158	0.07240097802
855	0.995461158	0.07230406526
856	0.9955193483	0.0722039485
857	0.9954902531	0.07202502724
858	0.995461158	0.0719213656
859	0.9954320628	0.07180896746
860	0.995461158	0.07170139771
861	0.9954029677	0.07163418629
862	0.9955193483	0.07151723626
863	0.9955484434	0.0714075776
864	0.9957230143	0.07127460824
865	0.9956939191	0.07117527962
866	0.9957230143	0.07110730792
867	0.9957521094	0.07098539057
868	0.9957521094	0.07089915512
869	0.9958102997	0.0707949452
870	0.9958102997	0.0707470157
871	0.9958102997	0.07065498817
872	0.9958393948	0.07053637218
873	0.99586849	0.07043898744
874	0.9959848705	0.07025826548
875	0.9960430608	0.07015032818
876	0.9960139657	0.07003757668
877	0.9960139657	0.06993862877
878	0.9960139657	0.06983972488
