table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,vaccination-vaccination_bad,,,,,,,,,
,blood_donation-donates,,,,,,,,,
,blood_donation-supports,,,,,,,,,
,blood_donation-not_support,,,,,,,,,
,luck-little_luck,,,,,,,,,
,luck-do_not_believe,,,,,,,,,
,charity-close,,,,,,,,,
,charity-country,,,,,,,,,
,charity-international,,,,,,,,,
,charity-nature,,,,,,,,,
,charity-animals,,,,,,,,,
,charity-none,,,,,,,,,
,discuss_politics-yes,,,,,,,,,
,discuss_politics-no,,,,,,,,,
,discuss_municipality-yes,,,,,,,,,
,discuss_municipality-no,,,,,,,,,
,stavkrajiny-skvele,,,,,,,,,
,stavkrajiny-lepe,,,,,,,,,
,stavkrajiny-spatne,,,,,,,,,
,climate-bubble,,,,,,,,,
,climate-problem,,,,,,,,,
,climatehumans-much,,,,,,,,,
,climatehumans-little,,,,,,,,,
,climatehumans-no,,,,,,,,,
,eu_vyhody-zasadni,,,,,,,,,
,eu_vyhody-trochu,,,,,,,,,
,eu_vyhody-nevyhodne,,,,,,,,,
,immigrants_new-yes_all,,,,,,,,,
,immigrants_new-no_muslim,,,,,,,,,
,immigrants_new-no_none,,,,,,,,,
,emotion_okamura-positive,,,,,,,,,
,emotion_okamura-negative,,,,,,,,,
,emotion_babis-positive,,,,,,,,,
,emotion_babis-negative,,,,,,,,,
,emotion_zeman-positive,,,,,,,,,
,emotion_zeman-negative,,,,,,,,,
,emotion_havel-positive,,,,,,,,,
,emotion_havel-negative,,,,,,,,,
,emotion_bartos-positive,,,,,,,,,
,emotion_bartos-negative,,,,,,,,,
,emotion_fiala-positive,,,,,,,,,
,emotion_fiala-negative,,,,,,,,,
